,no.,date,time,source,destination,protocol,length,tcp_retransmission,seq,win,len,mss,ack,flag,source_port,destination_port
0,1,2020-11-30,00:00:00,172.16.0.8,64.13.134.52,TCP,58,False,0,3072,0,1460,False,[SYN],36050,443
1,2,2020-11-30,00:02:12,172.16.0.8,64.13.134.52,TCP,58,False,0,3072,0,1460,False,[SYN],36050,143
2,3,2020-11-30,00:02:17,172.16.0.8,64.13.134.52,TCP,58,False,0,2048,0,1460,False,[SYN],36050,3306
3,4,2020-11-30,00:02:22,172.16.0.8,64.13.134.52,TCP,58,False,0,3072,0,1460,False,[SYN],36050,199
4,5,2020-11-30,00:02:27,172.16.0.8,64.13.134.52,TCP,58,False,0,1024,0,1460,False,[SYN],36050,111
5,6,2020-11-30,00:02:31,172.16.0.8,64.13.134.52,TCP,58,False,0,4096,0,1460,False,[SYN],36050,1025
6,7,2020-11-30,00:02:36,172.16.0.8,64.13.134.52,TCP,58,False,0,1024,0,1460,False,[SYN],36050,995
7,8,2020-11-30,00:02:40,172.16.0.8,64.13.134.52,TCP,58,False,0,1024,0,1460,False,[SYN],36050,587
8,9,2020-11-30,00:02:45,172.16.0.8,64.13.134.52,TCP,58,False,0,3072,0,1460,False,[SYN],36050,53
9,10,2020-11-30,00:02:49,172.16.0.8,64.13.134.52,TCP,58,False,0,1024,0,1460,False,[SYN],36050,5900
10,11,2020-11-30,01:31:52,64.13.134.52,172.16.0.8,TCP,60,False,0,5840,0,1380,1,"[SYN, ACK]",53,36050
11,12,2020-11-30,01:33:59,172.16.0.8,64.13.134.52,TCP,58,False,0,4096,0,1460,False,[SYN],36050,21
12,13,2020-11-30,01:34:05,172.16.0.8,64.13.134.52,TCP,58,False,0,4096,0,1460,False,[SYN],36050,113
13,14,2020-11-30,03:02:38,64.13.134.52,172.16.0.8,TCP,60,False,1,0,0,False,1,"[RST, ACK]",113,36050
14,15,2020-11-30,03:05:45,172.16.0.8,64.13.134.52,TCP,58,False,0,3072,0,1460,False,[SYN],36050,80
15,16,2020-11-30,03:05:52,172.16.0.8,64.13.134.52,TCP,58,False,0,1024,0,1460,False,[SYN],36050,139
16,17,2020-11-30,04:33:33,64.13.134.52,172.16.0.8,TCP,60,False,0,5840,0,1380,1,"[SYN, ACK]",80,36050
17,18,2020-11-30,04:35:47,172.16.0.8,64.13.134.52,TCP,58,False,0,3072,0,1460,False,[SYN],36050,3389
18,19,2020-11-30,04:35:53,172.16.0.8,64.13.134.52,TCP,58,False,0,2048,0,1460,False,[SYN],36050,23
19,20,2020-12-01,04:52:08,172.16.0.8,64.13.134.52,TCP,58,False,0,2048,0,1460,False,[SYN],36051,23
20,21,2020-12-01,04:52:16,172.16.0.8,64.13.134.52,TCP,58,False,0,2048,0,1460,False,[SYN],36051,3389
